place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJvdbUgIkicS4Rnl-Wn_k72gc,Pantai Empu Rancak,,,2101,4.3,"Name: Pantai Kartini Jepara
Link: https://www.google.com/maps/search/Pantai+Kartini+Jepara/@-6.589184899999999,110.6461048?authuser=0&hl=id&entry=ttu
Reviews: 14639 reviews

Name: Pantai Blebak Jepara
Link: https://www.google.com/maps/search/Pantai+Blebak+Jepara/@-6.5031256,110.6697446?authuser=0&hl=id&entry=ttu
Reviews: 1608 reviews

Name: Pantai Pungkruk
Link: https://www.google.com/maps/search/Pantai+Pungkruk/@-6.536594099999999,110.6670204?authuser=0&hl=id&entry=ttu
Reviews: 938 reviews

Name: Pantai purancak
Link: https://www.google.com/maps/search/Pantai+purancak/@-6.4869468999999995,110.6971688?authuser=0&hl=id&entry=ttu
Reviews: 30 reviews

Name: Taman Hutan Pandan
Link: https://www.google.com/maps/search/Taman+Hutan+Pandan/@-6.484044,110.69565019999999?authuser=0&hl=id&entry=ttu
Reviews: 6 reviews",,,1,Pantai Empu Rancak (Pemilik),,https://lh3.ggpht.com/p/AC9h4nqpGdSv8YMP6kVGjANQVTatO7il2r0SYzGQx3r1brIdu0xFEeYwSdgceEWblnxp1k4haTQStSWIcC_C-GYVawYV74qaYhgAwWBYwO6HVATke_7-tljyXKbJ8TwXjCf5B7XygAfI=s1024,Tujuan Wisata,"Tujuan Wisata, Restoran Seafood",06.00-17.00,,Open All Days,"GM7V+JQ4, Rw. 8, Karanggondang, Kec. Mlonggo, Kabupaten Jepara, Jawa Tengah 59452","seafood, ikan bakar, warung, ombak, masakan, pindang, gazebo, asam manis, pedagang, fasilitas",https://www.google.com/maps/place/Pantai+Empu+Rancak/data=!4m7!3m6!1s0x2e71228980d4d6bd:0x7da3bf99f965f9e!8m2!3d-6.4859835!4d110.6944613!16s%2Fg%2F120z6zq7!19sChIJvdbUgIkicS4Rnl-Wn_k72gc?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJl2Gq4-Tcei4RaHN8r9eRZNo,Pantai Ketawang Purworejo,"Pantai pasir putih bersuasana santai terkenal dengan memancing, ombak aktif & kios makanan simpel.",,2293,4.3,"Name: Pantai Dewaruci Jatimalang
Link: https://www.google.com/maps/search/Pantai+Dewaruci+Jatimalang/@-7.879616,109.9830355?authuser=0&hl=id&entry=ttu
Reviews: 8238 reviews

Name: Pantai Jetis
Link: https://www.google.com/maps/search/Pantai+Jetis/@-7.8493058,109.8953196?authuser=0&hl=id&entry=ttu
Reviews: 5780 reviews

Name: Pantai Jatikontal
Link: https://www.google.com/maps/search/Pantai+Jatikontal/@-7.8860339999999995,109.9992669?authuser=0&hl=id&entry=ttu
Reviews: 183 reviews

Name: Desa Wisata Ketawangrejo
Link: https://www.google.com/maps/search/Desa+Wisata+Ketawangrejo/@-7.827219,109.8959259?authuser=0&hl=id&entry=ttu
Reviews: 12 reviews

Name: Tambak udang
Link: https://www.google.com/maps/search/Tambak+udang/@-7.8466385,109.8907303?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",,,,Pantai Ketawang Purworejo (Pemilik),https://www.google.com/maps/contrib/106925385697058409802,https://lh3.ggpht.com/p/AF1QipOV_FM5Yq32yfSFE_WVBBML-kww2P09Mz05l1kK=s1024,Tujuan Wisata,Tujuan Wisata,06.00-18.00,,Open All Days,"5V3P+MF6, Pantai Ketawang Indah, Sengoro Wetan, Ketawangrejo, Kec. Grabag, Kabupaten Purworejo, Jawa Tengah 54265","ombak, parkir, mercusuar, pasir, selatan, pemandangan, festival, hati, fasilitas, taman bunga",https://www.google.com/maps/place/Pantai+Ketawang+Purworejo/data=!4m7!3m6!1s0x2e7adce4e3aa6197:0xda6491d7af7c7368!8m2!3d-7.845741!4d109.885281!16s%2Fg%2F11c2pkhz0h!19sChIJl2Gq4-Tcei4RaHN8r9eRZNo?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJLVdQpFQxZS4R8QlXVitM8Vo,Pantai Karang Bolong Kebumen,"Pantai berpasir dengan ombak dan pohon palem, formasi bebatuan, dan terumbu karang yang tak terlindungi.",,1194,4.2,,http://wisata.kebumenkab.go.id/,,,,,https://lh3.ggpht.com/p/AC9h4nqskOWFe9-fvU8O1IlQDSVDKqeyzEPqVL4HIO2BzaBpdppCuQ01mBGucyMpWr20mDKCpZFXe-bd4wU3vIzzkwdlac4gkYKPEOhhHfIN6gDCL2MHBWRI770E5tE64feqwUr_xuDt7g=s1024,Pantai,Pantai,,,Open All Days,"Karangbolong, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474","pemandangan, wisata, goa, bukit, kebersihan, tiket, pedagang, coklat, arah, pegunungan",https://www.google.com/maps/place/Pantai+Karang+Bolong+Kebumen/data=!4m7!3m6!1s0x2e653154a450572d:0x5af14c2b565709f1!8m2!3d-7.7586983!4d109.4680956!16s%2Fg%2F11b74n440w!19sChIJLVdQpFQxZS4R8QlXVitM8Vo?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJq6qqql7Dey4RNDZ4fDH62xA,Pantai Nampu,"Pantai berpasir putih yang diapit tebing dan bisa diakses melalui tangga, dengan ombak kecil dan warung makan.",,3929,4.5,"Name: Pantai Gading Purba
Link: https://www.google.com/maps/search/Pantai+Gading+Purba/@-7.850997,110.916772?authuser=0&hl=id&entry=ttu
Reviews: 1454 reviews

Name: Pantai Kwaru Gunturharjo Paranggupito Wonogiri
Link: https://www.google.com/maps/search/Pantai+Kwaru+Gunturharjo+Paranggupito+Wonogiri/@-8.2111416,110.89700959999999?authuser=0&hl=id&entry=ttu
Reviews: 186 reviews

Name: Pantai Jujugan Wetan
Link: https://www.google.com/maps/search/Pantai+Jujugan+Wetan/@-8.2029285,110.83747199999999?authuser=0&hl=id&entry=ttu
Reviews: 42 reviews

Name: Semenanjung Joglo
Link: https://www.google.com/maps/search/Semenanjung+Joglo/@-8.206495499999999,110.86244699999999?authuser=0&hl=id&entry=ttu
Reviews: 7 reviews

Name: Pantai Babangussia
Link: https://www.google.com/maps/search/Pantai+Babangussia/@-8.2024028,110.83600849999999?authuser=0&hl=id&entry=ttu
Reviews: 1 reviews",,,,Pantai Nampu (Pemilik),https://www.google.com/maps/contrib/113162630886133173960,https://lh3.ggpht.com/p/AC9h4nq9e36bk1FvDolDAvu_prla2oXAXRLQ382ql_ygMLy7yY0b5zH_-0nvqQXrUln9n_GOWQ6w07HK4ylHy05uzAm5BXheNTkLFn2UiCtTHvBa1sBml5puH-4RWtbehmcoJXOWNu4p4A=s1024,Tujuan Wisata,Tujuan Wisata,,,Open All Days,"Gunturharjo, Kec. Paranggupito, Kabupaten Wonogiri, Jawa Tengah 57678","pasir, ombak, pemandangan, hati, bermain, pedagang, ini, fasilitas, batu karang, retribusi",https://www.google.com/maps/place/Pantai+Nampu/data=!4m7!3m6!1s0x2e7bc35eaaaaaaab:0x10dbfa317c783634!8m2!3d-8.2104915!4d110.9034865!16s%2Fg%2F11c54p45jk!19sChIJq6qqql7Dey4RNDZ4fDH62xA?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJHWAdO-4jdy4R2YTupAK2Gcs,Pantai Karangjahe,"Pantai berpasir yang luas dan semarak menawarkan penyewaan rakit, payung & mobil buggy pasir.",,15741,4.3,"Name: Pantai Pasir Putih Wates Rembang
Link: https://www.google.com/maps/search/Pantai+Pasir+Putih+Wates+Rembang/@-6.689645,111.2826673?authuser=0&hl=id&entry=ttu
Reviews: 2658 reviews

Name: Pantai Binangun
Link: https://www.google.com/maps/search/Pantai+Binangun/@-6.6492282,111.4668037?authuser=0&hl=id&entry=ttu
Reviews: 1103 reviews

Name: Wisata Pantai Nyamplung
Link: https://www.google.com/maps/search/Wisata+Pantai+Nyamplung/@-6.692043,111.40024899999999?authuser=0&hl=id&entry=ttu
Reviews: 547 reviews

Name: Pantai Caruban
Link: https://www.google.com/maps/search/Pantai+Caruban/@-6.677861900000001,111.42971109999999?authuser=0&hl=id&entry=ttu
Reviews: 380 reviews

Name: Pantai Dermaga Rembang
Link: https://www.google.com/maps/search/Pantai+Dermaga+Rembang/@-6.6998085,111.33428409999999?authuser=0&hl=id&entry=ttu
Reviews: 319 reviews",,,,Pantai Karangjahe (Pemilik),https://www.google.com/maps/contrib/118415344109929478470,https://lh3.ggpht.com/p/AF1QipPtOQYFt-Gf99TRUCoHONUwYl--G4-1YXtwgtlx=s1024,Tujuan Wisata,Tujuan Wisata,,,Open All Days,"Jl. Pantai Karang Jahe, Jetakbelah, Punjulharjo, Kec. Rembang, Kabupaten Rembang, Jawa Tengah 59219","ATV, ombak, sewa, perahu karet, pedagang, keliling, odong-odong, mandi bola, destinasi wisata, lebaran",https://www.google.com/maps/place/Pantai+Karangjahe/data=!4m7!3m6!1s0x2e7723ee3b1d601d:0xcb19b602a4ee84d9!8m2!3d-6.6873643!4d111.4119539!16s%2Fg%2F11b7bzpbh6!19sChIJHWAdO-4jdy4R2YTupAK2Gcs?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJ71Yz2jAxZS4RAT3v7hDELfQ,Pantai Watu Bale Kebumen,"Ayo berwisata di wisata watu bale kebumen , HTM Rp.10.000 (belum termasuk parkir ) .
Kami juga menyediakan. Penyewaan tenda camping .",,1851,4.3,"Name: Pantai Menganti Kebumen
Link: https://www.google.com/maps/search/Pantai+Menganti+Kebumen/@-7.772553399999999,109.41268149999999?authuser=0&hl=id&entry=ttu
Reviews: 4411 reviews

Name: Pantai Surumanis Kebumen
Link: https://www.google.com/maps/search/Pantai+Surumanis+Kebumen/@-7.7719169,109.4322184?authuser=0&hl=id&entry=ttu
Reviews: 1241 reviews

Name: Pantai Gebyuran ( Kawasan Wisata Pantai Lampon )
Link: https://www.google.com/maps/search/Pantai+Gebyuran+(+Kawasan+Wisata+Pantai+Lampon+)/@-7.7717022,109.43596819999999?authuser=0&hl=id&entry=ttu
Reviews: 360 reviews

Name: Pantai Wedi Putih
Link: https://www.google.com/maps/search/Pantai+Wedi+Putih/@-7.7357999,109.3896397?authuser=0&hl=id&entry=ttu
Reviews: 109 reviews

Name: Pantai Pasir
Link: https://www.google.com/maps/search/Pantai+Pasir/@-7.768511899999999,109.4361643?authuser=0&hl=id&entry=ttu
Reviews: 102 reviews",,,,Pantai Watu Bale Kebumen (Pemilik),https://www.google.com/maps/contrib/115205656167663976848,https://lh3.ggpht.com/p/AF1QipM6AacmiXAclZCRhHEkKzqPbNnSrVQJYFT8BB1L=s1024,Tujuan Wisata,"Tujuan Wisata, Taman, Pantai Umum",08.00-17.00,,Open All Days,"Pasir, Kec. Ayah, Kabupaten Kebumen, Jawa Tengah 54473","foto, pemandangan, selfie, tiket, ombak, tebing, kapal, kebersihan, destinasi wisata, pantai menganti",https://www.google.com/maps/place/Pantai+Watu+Bale+Kebumen/data=!4m7!3m6!1s0x2e653130da3356ef:0xf42dc410eeef3d01!8m2!3d-7.766217!4d109.4412467!16s%2Fg%2F11b6mfd3zp!19sChIJ71Yz2jAxZS4RAT3v7hDELfQ?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJVVVVVSEfcS4R6SDHvHIeQ8A,Pantai Kartini Jepara,Pantai Kartini adalah tempat wisata yg santai dan juga ada pulau yg dekat yaitu pulau panjang kami juga melayani wisata kemping dan snorkling di pulau panjang. Bpk huda(wa/TLP 081325300135),,14644,4.2,"Name: Pantai Empu Rancak
Link: https://www.google.com/maps/search/Pantai+Empu+Rancak/@-6.4859835,110.6944613?authuser=0&hl=id&entry=ttu
Reviews: 2098 reviews

Name: Kura-Kura Ocean Park
Link: https://www.google.com/maps/search/Kura-Kura+Ocean+Park/@-6.5887046,110.645119?authuser=0&hl=id&entry=ttu
Reviews: 1865 reviews

Name: Pantai Pungkruk
Link: https://www.google.com/maps/search/Pantai+Pungkruk/@-6.536594099999999,110.6670204?authuser=0&hl=id&entry=ttu
Reviews: 938 reviews

Name: KOLAM IKAN PANTAI KARTINI
Link: https://www.google.com/maps/search/KOLAM+IKAN+PANTAI+KARTINI/@-6.5891449,110.64615599999999?authuser=0&hl=id&entry=ttu
Reviews: 14 reviews

Name: Loket Pantai Kartini
Link: https://www.google.com/maps/search/Loket+Pantai+Kartini/@-6.5872554999999995,110.64817939999999?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",https://pantaikartini.com/,0813-2530-0135,,Pantai Kartini Jepara (Pemilik),https://www.google.com/maps/contrib/102688307310237628633,https://lh3.ggpht.com/p/AC9h4nqhOUw4UJPvxwDnYdOeVh55-tcdufv0uqNpoAaaOfV694I-IBqPc4MLQrPHmoomNtKpYyefTqsYiGQQX8S0rdICQCDVmSMYmbqYcEk-C0L9C9w8z4ZzKkang7S8eigEQRCc_SEJ=s1024,Tujuan Wisata,"Tujuan Wisata, Taman",07.00-19.00,,Open All Days,"RT.01/RW.04, Rw. IV, Bulu, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59418","aquarium, kebersihan, kapal, pelabuhan, pedagang, seafood, raksasa, fasilitas umum, 3d, pantai bandengan",https://www.google.com/maps/place/Pantai+Kartini+Jepara/data=!4m7!3m6!1s0x2e711f2155555555:0xc0431e72bcc720e9!8m2!3d-6.5891849!4d110.6461048!16s%2Fg%2F1238mbs2!19sChIJVVVVVSEfcS4R6SDHvHIeQ8A?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJZS78Ck0VZS4RNqMfp0BpAP0,Pantai Sodong,"Pantai berlatar pohon cemara & kafe warung, dengan pasir hitam, rental ATV, serta gua meditasi.",,5490,4.1,"Name: Pantai Bunton
Link: https://www.google.com/maps/search/Pantai+Bunton/@-7.689201499999999,109.1432885?authuser=0&hl=id&entry=ttu
Reviews: 674 reviews

Name: Pantai Srandil
Link: https://www.google.com/maps/search/Pantai+Srandil/@-7.6929208,109.19015209999999?authuser=0&hl=id&entry=ttu
Reviews: 485 reviews

Name: Wisata Pantai Sodong
Link: https://www.google.com/maps/search/Wisata+Pantai+Sodong/@-7.6874409,109.1849375?authuser=0&hl=id&entry=ttu
Reviews: 61 reviews

Name: Tanjung Bunton
Link: https://www.google.com/maps/search/Tanjung+Bunton/@-7.690444500000001,109.1708137?authuser=0&hl=id&entry=ttu
Reviews: 8 reviews

Name: Pantai Wisanggeni
Link: https://www.google.com/maps/search/Pantai+Wisanggeni/@-7.693781,109.19986639999999?authuser=0&hl=id&entry=ttu
Reviews: 4 reviews",,,1,Pantai Sodong (Pemilik),,https://lh3.ggpht.com/p/AC9h4nrAatV-NA6ix7o0p6MazJ5ROmzdLlV0Oh2aY6m1wYBRSqn-ny7rBcFO5fX_-_NI_cfO9ueE8k3WNWBGimIfa5YcjED-I5BOiL9Vicb1eAT3llc0Ctmom6y7iTGDh_TTkebNsp0=s1024,Tujuan Wisata,Tujuan Wisata,08.00-18.00,,Open All Days,"855G+F58, Jl. Laut, Sawah,Ladang, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271","ombak, rekreasi, mendoan, tempat sampah, ayunan, bibir pantai, pungli, tarif, lebaran, pantai teluk penyu",https://www.google.com/maps/place/Pantai+Sodong/data=!4m7!3m6!1s0x2e65154d0afc2e65:0xfd006940a71fa336!8m2!3d-7.6913293!4d109.1754562!16s%2Fg%2F11bxc41tjl!19sChIJZS78Ck0VZS4RNqMfp0BpAP0?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJrXK1bChBcC4RqzMgNOyNmjc,wisata pantai jodo,Hati2 apabila berenang dan jagalah kebersihan bersama,,1901,4.2,,https://wisata-pantai-jodo.business.site/,0878-5660-2774,,,,https://lh3.ggpht.com/p/AF1QipOGTIBsllKnLepLS9x7BoBwTVJHUVht9CIHVN3e=s1024,Pantai,Pantai,,,Open All Days,"Buntu, Jl. Sidorejo, Sikluyu, Sidorejo, Kec. Gringsing, Kabupaten Batang, Jawa Tengah 51281","pemandangan, rel, bukit, nyaman, fasilitas, batang, sawah, destinasi wisata, pacaran, simpangan",https://www.google.com/maps/place/wisata+pantai+jodo/data=!4m7!3m6!1s0x2e7041286cb572ad:0x379a8dec342033ab!8m2!3d-6.9223405!4d109.9986819!16s%2Fg%2F11bw47dfyj!19sChIJrXK1bChBcC4RqzMgNOyNmjc?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
ChIJt4_lygVEcC4RWHpaMtOVO04,Wisata Pantai Sendang Asih,"Wisata Pantai dng keunggulan Alam yg sangat Alami sekali. Dengan Hutan pinggir Pantai yg sangat Sejuuk sekali....ditambah keistimewaan yg tiada duanya di Jawa Tengah yaitu 50 M sebelum Pantai ada Tanaman Padi yg tumbuh dg Suburnya....Pengunjung jg bisa membeli Ikan Laut yg masih segar...bahkan di musim"" tertentu ada Ikan yg naik ke Pantai sehingga Pengunjung bisa langsung menanglap Ikannya.....",,893,4.2,"Name: Pantai Cahaya
Link: https://www.google.com/maps/search/Pantai+Cahaya/@-6.902421299999999,110.06599320000001?authuser=0&hl=id&entry=ttu
Reviews: 3943 reviews

Name: Pantai Karang Asri
Link: https://www.google.com/maps/search/Pantai+Karang+Asri/@-6.8915486999999995,110.100578?authuser=0&hl=id&entry=ttu
Reviews: 83 reviews

Name: Wisata Pantai Sendang Sekucing
Link: https://www.google.com/maps/search/Wisata+Pantai+Sendang+Sekucing/@-6.9031392,110.0606352?authuser=0&hl=id&entry=ttu
Reviews: 10 reviews

Name: WISATA PANTAI SENDANG ASIH BELOK KIRI
Link: https://www.google.com/maps/search/WISATA+PANTAI+SENDANG+ASIH+BELOK+KIRI/@-6.910966999999999,110.0577112?authuser=0&hl=id&entry=ttu
Reviews: 2 reviews

Name: Pantai Indah Sendangsikucing (PISS)
Link: https://www.google.com/maps/search/Pantai+Indah+Sendangsikucing+(PISS)/@-6.903359999999999,110.06295659999999?authuser=0&hl=id&entry=ttu
Reviews: 1 reviews",,,,Wisata Pantai Sendang Asih (Pemilik),https://www.google.com/maps/contrib/109408161388752348164,https://lh3.ggpht.com/p/AF1QipN7RzFanXSDJj5987_0Z5lZAQjJKap4ozD--zKb=s1024,Tujuan Wisata,Tujuan Wisata,06.00-21.00,,Open All Days,"Sendang Sikucing, Kec. Weleri, Jawa Tengah","pantainya, sejuk, orang, tiket, tanah, tempat sampah, aspal, kebersihan, pemandangan, ombak",https://www.google.com/maps/place/Wisata+Pantai+Sendang+Asih/data=!4m7!3m6!1s0x2e704405cae58fb7:0x4e3b95d3325a7a58!8m2!3d-6.9039347!4d110.0541332!16s%2Fg%2F11cmcyn0x5!19sChIJt4_lygVEcC4RWHpaMtOVO04?authuser=0&hl=id&rclk=1,pantai wisata jawa tengah
