place_id,name,description,reviews,rating,featured_image,address,review_keywords,link,coordinates
beach_0001,Pantai Natsepa,"Jalur pasir putih dengan pemandian, banana boat & kayak, serta kafe ""warung"" standar yang menjual salad buah.",2217,4.4,https://lh3.ggpht.com/p/AF1QipMYYpqAHoy1IcbdyUQ80VvN21Ll8NUCnSd5673f=s1024,"Suli, Kec. Salahutu, Kabupaten Maluku Tengah, Maluku","rujak, pemandangan, buah, es kelapa muda, banana boat, pisang goreng, bumbu kacang, gula merah, sukun, angkot",https://www.google.com/maps/place/Pantai+Natsepa/data=!4m7!3m6!1s0x2d6cece6e8bfa427:0x4f23bfbc3a9673f2!8m2!3d-3.6215465!4d128.2921198!16s%2Fg%2F11cjj0hyrf!19sChIJJ6S_6ObsbC0R8nOWOry_I08?authuser=0&hl=id&rclk=1,"-3.6215465, 128.2921198"
beach_0002,Pantai Liang,-,1246,4.5,https://lh3.ggpht.com/p/AF1QipOQRzqn26_fRZauPIHgOgGywAoYuakbsxPmA8CF=s1024,"Jalan Propinsi, Liang, Salahutu, Kabupaten Maluku Tengah, Maluku","tempat wisata, pemandangan, rujak, banana boat, ferry, fasilitas, penjual, gradien warna, sukun, dermaga",https://www.google.com/maps/place/Pantai+Liang/data=!4m7!3m6!1s0x2d6c8b4d049b04b7:0x34b7df42fb67f814!8m2!3d-3.5049264!4d128.3428253!16s%2Fg%2F11hb2pqnn9!19sChIJtwSbBE2LbC0RFPhn-0LftzQ?authuser=0&hl=id&rclk=1,"-3.5049264, 128.3428253"
beach_0003,Lubang Buaya Morela,Siap,1196,4.6,https://lh3.ggpht.com/p/AF1QipPm_VtfVXGcIYFTCB-dh8JPFsfiJnWpFOd11ZR0=s1024,"Morela, Kec. Leihitu, Kabupaten Maluku Tengah, Maluku 97581","snorkling, ikan, pemandangan, terumbu, pelampung, karang, surga, indomie, air tawar, gorengan",https://www.google.com/maps/place/Lubang+Buaya+Morela/data=!4m7!3m6!1s0x2d6cf6ae7693ae9f:0x201c7423df81cfcc!8m2!3d-3.5183437!4d128.2236557!16s%2Fg%2F11c45sxdpv!19sChIJn66Tdq72bC0RzM-B3yN0HCA?authuser=0&hl=id&rclk=1,"-3.5183437, 128.2236557"
beach_0004,Pantai Ngurbloat Desa Ngilngof - Kei Islands,"Hamparan pasir putih panjang berlatar pohon kelapa, populer untuk melihat sunset dan bermain voli.",1070,4.7,https://lh3.ggpht.com/p/AF1QipNsrLGl1G85bTvrLW_7iW8n-JoS5R2AaLpDUvpF=s1024,"Ngurbloat, Kabupaten Maluku Tenggara, Maluku","pasir, sunset, panjang, tepung, pemandangan, surga, cottage, voli, masyarakat, pisang",https://www.google.com/maps/place/Pantai+Ngurbloat+Desa+Ngilngof+-+Kei+Islands/data=!4m7!3m6!1s0x2d30042fc9123f8f:0xd3a4a88054e326f!8m2!3d-5.6624981!4d132.6362396!16s%2Fg%2F11b86hyzjt!19sChIJjz8SyS8EMC0RbzJOBYhKOg0?authuser=0&hl=id&rclk=1,"-5.6624981, 132.63623959999998"
beach_0005,Pantai Pintu Kota Ambon,Tempat berenang tertutup di samping pantai berbatu dengan formasi batu kapur pesisir indah yang mirip gerbang.,1021,4.4,https://lh3.ggpht.com/p/AF1QipO5v7I-TAjeg39YGlRPgSTD5dBk8aCsZ3SAn7HX=s1024,"65H2+QXM, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku","pemandangan, ombak, berenang, tebing, kelapa, destinasi wisata, batu karang, rujak, pisang goreng, sukun",https://www.google.com/maps/place/Pantai+Pintu+Kota+Ambon/data=!4m7!3m6!1s0x2d6cc335f61cc1e9:0x456317295a6201a6!8m2!3d-3.7705365!4d128.1524331!16s%2Fg%2F11b7vd74_p!19sChIJ6cEc9jXDbC0RpgFiWikXY0U?authuser=0&hl=id&rclk=1,"-3.7705365, 128.1524331"
beach_0006,Pantai Kota Jawa,-,660,4.4,https://lh3.ggpht.com/p/AF1QipN5SNMOuiDZAZORPrNwnj9wBhMSgF0s0GMNZZle=s1024,"85QH+CJV, Jl. Ir. M. Putuhena, Rumah Tiga, Kec. Tlk. Ambon, Kota Ambon, Maluku","santai, sore, pemandangan, snack, pinggir pantai, harga, duduk, penjual, teluk, magrib",https://www.google.com/maps/place/Pantai+Kota+Jawa/data=!4m7!3m6!1s0x2d6ce97313f9e59b:0x18ccd1e2d47dd569!8m2!3d-3.6613789!4d128.1790623!16s%2Fg%2F11jhxwlfxv!19sChIJm-X5E3PpbC0RadV91OLRzBg?authuser=0&hl=id&rclk=1,"-3.6613789, 128.1790623"
beach_0007,Pantai Ina Marina,-,578,4.3,https://lh3.ggpht.com/p/AF1QipOakn5aQMAL_sokibJeICTxlqpkzGYWMgNi-bfg=s1024,"PX23+97V, Ampera, Kec. Kota Masohi, Kabupaten Maluku Tengah, Maluku 97511","sunset, santai, pemandangan, sejuk, kebersihan, pelabuhan, anak, kopi, bermain, masyarakat",https://www.google.com/maps/place/Pantai+Ina+Marina/data=!4m7!3m6!1s0x2d6b982edabe8d0b:0x64b55143ad1008c3!8m2!3d-3.299009!4d128.953178!16s%2Fg%2F11cn9s9np6!19sChIJC42-2i6Yay0RwwgQrUNRtWQ?authuser=0&hl=id&rclk=1,"-3.299009, 128.953178"
beach_0008,SANTAI BEACH,-,470,4.2,https://lh3.ggpht.com/p/AF1QipN3p49xsXeep_j8Jd8D4-LvBLJrfIm2Qt6YLpHS=s1024,"64CG+R2F, Jl. Amanhuse, Latuhalat, Kec. Nusaniwe, Kota Ambon, Maluku","berenang, orang, anak, ombak, kamar mandi, liburan, parkir, toilet, rujak, namanya",https://www.google.com/maps/place/SANTAI+BEACH/data=!4m7!3m6!1s0x2d6cdc97b7126507:0x6d60002dbafbfe17!8m2!3d-3.7779383!4d128.1250608!16s%2Fg%2F11clsfy3wb!19sChIJB2USt5fcbC0RF_77ui0AYG0?authuser=0&hl=id&rclk=1,"-3.7779382999999997, 128.1250608"
beach_0009,Pantai Hukurila,-,439,4.5,https://lh3.ggpht.com/p/AF1QipNXR4VR0rYoAm9ySFMhWe-4YWcGKAHfvSM4yHYi=s1024,"766R+P8M, Banda Sea, Hukurila, Kota Ambon, Maluku","pantainya, snorkeling, pemandangan, keindahan, foto, desa, terumbu karang, kendaraan, bensin, warung",https://www.google.com/maps/place/Pantai+Hukurila/data=!4m7!3m6!1s0x2d6cc18e44ac7471:0x666d9152d3bbd2a7!8m2!3d-3.7381507!4d128.240791!16s%2Fg%2F11cm0lh9yr!19sChIJcXSsRI7BbC0Rp9K701KRbWY?authuser=0&hl=id&rclk=1,"-3.7381507, 128.240791"
beach_0010,Pantai Merah Putih (PMP),-,416,4.0,https://lh3.ggpht.com/p/AF1QipON7e3brirOV-EEMtnqKw8B9LZqNEegL1SzRaw2=s1024,"P3FW+4CR, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","santai, hiburan, minuman, sunset, pemandangan",https://www.google.com/maps/place/Pantai+Merah+Putih+%28PMP%29/data=!4m7!3m6!1s0x2d726d0f4f460b35:0x20a1e60cefc8b577!8m2!3d-3.2771488!4d127.0960182!16s%2Fg%2F11btxjw2dy!19sChIJNQtGTw9tci0Rd7XI7wzmoSA?authuser=0&hl=id&rclk=1,"-3.2771488, 127.09601819999999"
